cluster_id,n,log_e_para_multi,log_e_verb,log_e_full
134,50,-1.8029041898121014,-1.2165154872138433,-1.4673304188680123
135,50,-1.7837886925969095,-1.2165154872138433,-1.4604552798664274
136,50,-1.7749569584505505,-1.2165154872138433,-1.457250360203627
137,50,-1.7833654865869102,-1.2165154872138433,-1.4603021152119733
138,50,-1.7816589277215806,-1.2165154872138433,-1.4596840660089367
139,50,-1.7405962055395534,2.430731170559725,1.7528978940836488
140,50,-1.7911102645852386,-2.4427208906296025,-2.064754245084446
141,50,-1.8048776554825956,-0.6010092891869139,-1.0317681032273414
142,50,-1.8063194824115196,165.5904080851944,164.89726090463446
143,50,-1.7770818674593007,-1.2165154872138433,-1.4580231094189529
144,50,-1.7841279945804316,-2.7449304704148183,-2.1533196995468327
145,50,-1.7770818674593007,-1.2165154872138433,-1.4580231094189529
146,50,-1.8020343065085274,-1.2165154872138433,-1.4670193800979185
147,50,-1.798726424540976,-1.2165154872138433,-1.4658350134660938
148,50,-1.7749569584505505,-1.2165154872138433,-1.457250360203627
149,50,-1.73822581032354,-2.702251038109968,-2.1083082684622827
150,50,-1.7957011722297485,-1.2165154872138433,-1.464749637786419
151,50,-1.8005639615557638,2.430731170559725,1.7520129456159097
152,50,-1.7233519900793073,-1.2165154872138433,-1.438161252756733
153,50,-1.78756167741068,-1.2165154872138433,-1.4618189527133887
154,50,-1.7602402374758235,-1.2165154872138433,-1.4518697251297001
155,50,-1.7858988436333374,-1.2165154872138433,-1.4612183583110956
156,50,-1.8048776554825956,-1.2165154872138433,-1.4680354143926069
157,50,-1.7816589277215806,-1.2165154872138433,-1.4596840660089367
158,50,-1.7770818674593007,-2.4427208906296025,-2.0555102212819856
159,50,-1.7328192583150803,-1.2165154872138433,-1.4417098285794192
160,50,-1.7694193530834834,-1.2165154872138433,-1.455231629539996
161,49,-1.7851997357715461,-1.2731209890880115,-1.496734277493998
162,49,-1.8000868914935677,-2.01259502939286,-1.9007065868608182
163,49,-1.7963732919174302,-1.2731209890880115,-1.5009064675157244
164,49,-1.7928260019968056,-1.2731209890880115,-1.4995850787134322
165,49,-1.7828198620696518,-1.2731209890880115,-1.4958418600667052
166,49,-1.7927284376403834,-1.2731209890880115,-1.4995486937821803
167,49,-1.7803194015674029,-1.2731209890880115,-1.4949027939081039
168,49,-1.7781986121292683,165.5904080851944,164.89726090463446
169,49,-1.7805338248596267,165.5904080851944,164.89726090463446
170,49,-1.8099715074425131,-1.2731209890880115,-1.505944679292301
171,49,-1.7955391534283562,165.5904080851944,164.89726090463446
172,49,-1.7782866223976208,-1.2731209890880115,-1.4941382880552312
173,49,-1.8002079297367022,-2.4804946004293975,-2.083584762422942
174,49,-1.7587197402653354,-1.2731209890880115,-1.4867297304664946
175,49,-1.8050999848735054,165.5904080851944,164.89726090463446
176,49,-1.7400214662911668,0.5000677581633748,-0.09192362871459692
177,49,-1.7673681183727221,-1.2731209890880115,-1.4900153522032786
178,49,-1.7960971026642465,-2.4804946004293975,-2.0808540996051628
179,49,-1.7440517252903065,-2.4804946004293975,-2.0459584288948407
180,49,-1.7960971026642465,-1.2731209890880115,-1.5008036907786146
181,49,-1.8002079297367022,-1.2731209890880115,-1.5023315885610546
182,49,-1.6560987761997463,-0.04637538842855271,-0.5572485857582952
183,49,-1.7837015623335977,-2.7726388287202646,-2.16059977650845
184,49,-1.7736858569639014,-2.4804946004293975,-2.065901077714205
185,49,-1.7251961629835437,-2.7726388287202646,-2.117621310510141
186,49,-1.7251961629835437,-2.7726388287202646,-2.117621310510141
